question,answer
What is AI?,"AI stands for Artificial Intelligence. It simulates human intelligence in machines."
What is Python?,"Python is a high-level, interpreted programming language."
How are you?,"I'm just code, but thanks for asking!"
पाइथन क्या है?,"पाइथन एक उच्च स्तरीय प्रोग्रामिंग भाषा है जिसका उपयोग वेब डेवलपमेंट, ऑटोमेशन और डेटा साइंस में होता है।"
What is Python?,"Python is a high-level programming language used for web development, automation, and data science."
HTML क्या है?,"HTML एक मार्कअप भाषा है जिसका उपयोग वेब पेज बनाने के लिए किया जाता है।"
What is HTML?,"HTML is a markup language used to create web pages."
CSS क्यों इस्तेमाल होती है?,"CSS का उपयोग वेबसाइट के डिज़ाइन और स्टाइल को कंट्रोल करने के लिए किया जाता है।"
Why is CSS used?,"CSS is used to control the design and styling of websites."
AI क्या है?,"AI यानी Artificial Intelligence एक तकनीक है जो मशीनों को इंसानों की तरह सोचने और काम करने की क्षमता देती है।"
What is AI?,"AI or Artificial Intelligence is a technology that allows machines to think and act like humans."
आपका नाम क्या है?,"मेरा नाम VDA Assistant है, मैं आपकी मदद के लिए यहां हूं।"
What is your name?,"My name is VDA Assistant, I am here to help you."
Flask क्या है?,"Flask एक हल्का Python वेब फ्रेमवर्क है जिसका उपयोग वेब ऐप्लिकेशन बनाने में होता है।"
What is Flask?,"Flask is a lightweight Python web framework used to build web applications."
YOLO क्या करता है?,"YOLO एक object detection मॉडल है जो इमेज या वीडियो में चीज़ों की पहचान करता है।"
What does YOLO do?,"YOLO is an object detection model that identifies objects in images or videos."
Google क्या है?,"Google एक search engine है जिससे आप इंटरनेट पर कोई भी जानकारी ढूंढ सकते हैं।"
What is Google?,"Google is a search engine used to find information on the internet."
कंप्यूटर क्या होता है?,"कंप्यूटर एक इलेक्ट्रॉनिक डिवाइस है जो डाटा को प्रोसेस करता है और रिज़ल्ट देता है।"
What is a computer?,"A computer is an electronic device that processes data and gives output."
CPU का क्या काम होता है?,"CPU कंप्यूटर का दिमाग होता है, जो सभी instructions को प्रोसेस करता है।"
What does CPU do?,"The CPU is the brain of the computer that processes all instructions."
Python को किसने बनाया?,"Python की रचना Guido van Rossum ने 1991 में की थी।"
Who created Python?,"Python was created by Guido van Rossum in 1991."
कृत्रिम बुद्धिमत्ता के प्रकार क्या हैं?,"AI के मुख्य प्रकार हैं: Narrow AI, General AI और Super AI।"
What are types of AI?,"Types of AI include Narrow AI, General AI, and Super AI."
Machine Learning क्या है?,"Machine Learning एक AI तकनीक है जिससे कंप्यूटर बिना स्पष्ट प्रोग्रामिंग के सीखते हैं।"
What is Machine Learning?,"Machine Learning is a technique that enables computers to learn without being explicitly programmed."
डेटा साइंस क्या है?,"डेटा साइंस एक क्षेत्र है जो डेटा से जानकारी निकालने के लिए सांख्यिकी, प्रोग्रामिंग और डोमेन ज्ञान का उपयोग करता है।"
What is Data Science?,"Data Science is a field that extracts insights from data using statistics, programming, and domain knowledge."
SQL क्या है?,"SQL एक भाषा है जिसका उपयोग डेटाबेस से डेटा प्राप्त करने और नियंत्रित करने के लिए किया जाता है।"
What is SQL?,"SQL is a language used to retrieve and manage data from databases."
IP Address क्या होता है?,"IP Address एक यूनिक नंबर होता है जो हर इंटरनेट डिवाइस को पहचाने में मदद करता है।"
What is an IP Address?,"An IP address is a unique number that identifies each device on the internet."
RAM का क्या काम होता है?,"RAM अस्थायी मेमोरी होती है जो कंप्यूटर में चल रहे प्रोग्राम्स को फास्ट एक्सेस देती है।"
What is the function of RAM?,"RAM is temporary memory that provides fast access to running programs on a computer."
Cloud Computing क्या है?,"Cloud Computing एक तकनीक है जिससे आप इंटरनेट के माध्यम से सर्वर, स्टोरेज और एप्लिकेशन एक्सेस कर सकते हैं।"
What is Cloud Computing?,"Cloud Computing is a technology that allows you to access servers, storage, and applications via the internet."
GitHub क्या है?,"GitHub एक प्लेटफ़ॉर्म है जहाँ आप कोड को स्टोर, साझा और collaborate कर सकते हैं।"
What is GitHub?,"GitHub is a platform for hosting, sharing, and collaborating on code projects."
VDA क्या है?,"VDA एक वर्चुअल डिजिटल असिस्टेंट है जो वॉइस कमांड्स और इंटेलिजेंस के साथ काम करता है।"
What is VDA?,"VDA is a Virtual Digital Assistant that works with voice commands and intelligence."
hi,"Hello! How can I assist you today?"
hello,"Hi there! 😊 How can I help you?"
hey,"Hey! Need any help?"
how are you?,"I'm just a bunch of code, but I'm functioning perfectly fine. Thank you!"
what is your name?,"I'm VDA Assistant — your voice-powered digital helper."
who are you?,"I'm your VDA Assistant, here to assist you with smart answers and actions."
thank you,"You're welcome! 😊"
thanks,"Anytime! Glad to help."
good morning,"Good morning! ☀️ Hope you have a productive day."
good night,"Good night! 🌙 Sleep well."
नमस्ते,"नमस्ते! मैं VDA Assistant हूं, आपकी मदद के लिए तैयार।"
कैसे हो?,"मैं एक डिजिटल असिस्टेंट हूं, और बिल्कुल ठीक काम कर रहा हूं!"
आपका नाम क्या है?,"मेरा नाम VDA Assistant है, मैं आपकी सहायता के लिए यहां हूं।"
आप कौन हो?,"मैं VDA Assistant हूं — एक वॉयस पावर्ड डिजिटल हेल्पर।"
धन्यवाद,"आपका स्वागत है! 😊"
शुक्रिया,"मुझे खुशी हुई मदद करके।"
सुप्रभात,"सुप्रभात! ☀️ आपका दिन शुभ हो।"
शुभ रात्रि,"शुभ रात्रि! 🌙 अच्छे से आराम करें।"
